기온분석,,,,
[검색조건],,,,
자료구분 : 일,,,,
자료형태 : 기본,,,,
지역/지점 : 부산,,,,
기간 : 20210701~20210731,,,,
,,,,
날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021-07-01,159,24.8,21.4,29.5
2021-07-02,159,24.7,21.7,29.4
2021-07-03,159,22.9,21.5,24.8
2021-07-04,159,23.9,21.5,26.6
2021-07-05,159,22.7,20.8,24.6
2021-07-06,159,23.4,21.5,24.7
2021-07-07,159,23.7,21.6,26.4
2021-07-08,159,23.7,21.6,27.7
2021-07-09,159,24.4,22.2,28.1
2021-07-10,159,25.3,23.4,28
2021-07-11,159,26.2,23.8,29.1
2021-07-12,159,27.2,25.4,29.9
2021-07-13,159,27,25.1,29.5
2021-07-14,159,27.5,25.2,30
2021-07-15,159,27.3,25.5,30
2021-07-16,159,27,25,30.4
2021-07-17,159,25.5,23.2,28
2021-07-18,159,26.3,24.3,29
2021-07-19,159,26.8,24.3,29.7
2021-07-20,159,28.4,25.6,32.4
2021-07-21,159,27.9,25.7,31.2
2021-07-22,159,28,25.2,31.6
2021-07-23,159,27.8,25,32
2021-07-24,159,28.1,25.5,31.7
2021-07-25,159,27.9,26,31.1
2021-07-26,159,28.1,25.6,31.3
2021-07-27,159,28.1,25.2,31.9
2021-07-28,159,27.9,24.9,32
2021-07-29,159,28.1,25.1,31.7
2021-07-30,159,27.8,25.1,30.8
2021-07-31,159,28,25.9,30.1
